"Name","Price","genres","features","developer","publisher","platform","Release date","note critique","moyenne avis","Classification OpenCritique"
"Kosmokrats","11,99 €","","Casse-tête Aventure Indépendant Solo","Pixel Delusion","Modern Wolf","Windows","18/12/20","55 ","73","Passable"
"Kraken Academy","14,99 €","","Comédie Aventure Indépendant Solo","Happy Broccoli Games","Fellow Traveller","Windows","03/09/21","","",""
"Krita","7,99 €","","Application","L'équipe Krita","Projet Krita","Windows","22/04/21","","",""
"Lake","19,99 €","","Aventure Indépendant Solo Compatibilité manette","Gamious","Whitethorn Games","Windows","01/09/21","43 ","69","Passable"
"Last Day of June","19,99 €","","Jeux de rôle Indépendant Solo Compatibilité manette","Ovosonico","505 Games","Windows","31/08/17","59 ","73","Passable"
"Layers of Fear: Masterpiece Edition","22,99 €","","Horreur Première personne Solo","Bloober Team","Aspyr Media, Inc.","Windows Mac OS Mac OS","15/02/16","51 ","74","Passable"
"Layers of Fear 2","15,99 €","","Horreur Indépendant","Bloober Team SA","Gun Media","Windows","22/10/20","43 ","70","Passable"
"League of Legends","Gratuit","","Action Jeux de rôle Stratégie Coopération Multijoueur Compétitif Solo","Riot Games","Riot Games","Windows Mac OS","04/11/21","","",""
"Legend of Grimrock","11,99 €","","Jeux de rôle Indépendant","Almost Human Ltd.","Almost Human Ltd.","Windows Mac OS","25/10/21","","",""
"Legend of Grimrock 2","23,99 €","","Jeux de rôle Indépendant Solo","Almost Human Ltd.","Almost Human Ltd.","Windows Mac OS","25/10/21","79 ","84","Super"
"Legend of Keepers","17,99 €","","Indépendant Jeux de rôle Stratégie Compatibilité manette Solo","Goblinz Studio","Goblinz Publishing","Windows Mac OS","29/04/21","","",""
"Legends of Runeterra","Gratuit","","Stratégie Jeux de cartes Multijoueur Solo","Riot Games","Riot Games","Windows","04/11/21","100"," 8"," Super"
"LEGO® Batman™ 2: DC Super Heroes","19,99 €","","","","","Windows","","","",""
"LEGO® Batman™ 3: Beyond Gotham","19,99 €","","","","","Windows","","","",""
"LEGO® Batman™: The Videogame","19,99 €","","","","","Windows","","","",""
"LEGO® Builder's Journey","16,99 €","","Casual Casse-tête Aventure Solo","Light Brick Studio","LEGO Games","Windows","22/06/21","77 ","77","Très bien"
"LEGO® Star Wars™: The Skywalker Saga","49,99 €","","Action Aventure Coopération Multijoueur Succès Solo","TT Games","Warner Bros. Games","Windows","05/04/22","87 ","82","Très bien"
"Let's Build a Zoo","15,99 €","","Simulation Construction de villes Stratégie Solo","Springloaded","No More Robots","Windows","05/11/21","","",""
"Levelhead","16,79 €","","","","","Windows","","","",""
"Lifeless Planet: Premier Edition","15,99 €","","Action Aventure Indépendant","Stage 2 Studios","Serenity Forge","Windows","09/07/20","","",""
"Lifeslide","7,19 €","","Aventure Indépendant Solo Compatibilité manette","Dreamteck","Dreamteck","Windows","15/11/21","","",""
"Lila's Sky Ark","11,99 €","","Action-aventure Compatibilité manette Solo","Monolith of Minds","Graffiti Games","Windows","21/04/22","","",""
"Limbo","7,99 €","","Indépendant Casse-tête Jeux de plateforme Compatibilité manette Solo","Playdead","Playdead","Windows","30/07/10","","",""
"Little Big Workshop","19,99 €","","Simulation Stratégie Compatibilité manette Solo","Mirage Game Studios","Handy Games GmbH","Windows","10/06/21","50 ","74","Passable"
